objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_prob_1,SG3_prob_2,SG3_prob_3,SG3_prob_4,SG3_lower_bound,SG3_upper_bound,PROBABILITY_FLAG
587729408074449055,0,0.8752,4,10,0.024116,0.0756109,0.250165,0.650108,8.10192,10.0,0
587729408074514589,14,0.0018,1,0,0.526531,0.249548,0.0889081,0.135012,0.0,3.82128,0
587729408074514616,0,0.6717,4,10,0.00664943,0.0290162,0.0837575,0.880577,9.12814,10.0,0
587729408074580129,0,0.0081,4,10,0.361199,0.145768,0.130078,0.362955,8.27314,10.0,0
587729408074580158,1,0.0021,4,9,0.0372221,0.144575,0.289695,0.528508,7.95722,10.0,0
587729408074580172,0,0.0,4,10,0.161489,0.131619,0.160014,0.546877,8.78093,10.0,0
587729408074580185,0,0.3574,4,10,0.104858,0.0679689,0.143336,0.683838,8.78733,10.0,0
587729408074645633,1,0.5773,4,10,0.0164956,0.0317218,0.134782,0.817,8.87203,10.0,0
587729408074645771,5,0.0539,4,10,0.0396585,0.0899399,0.271916,0.598486,7.99946,10.0,0
587729408074645808,0,0.0004,4,10,0.223439,0.152095,0.190337,0.43413,8.17284,10.0,0
587729408074645904,2,0.0137,4,10,0.049559,0.0871916,0.174477,0.688772,8.70686,10.0,0
587729408074711197,1,0.0014,4,10,0.333997,0.0789787,0.0819524,0.505072,9.08144,10.0,0
587729408074711216,0,0.0175,4,10,0.243781,0.0943312,0.132649,0.529239,8.69724,10.0,0
587729408074711242,3,0.9264,4,10,0.0727017,0.160689,0.336614,0.429995,5.36218,10.0,0
587729408074711245,0,0.936,4,9,0.191735,0.221972,0.266022,0.320271,5.84234,10.0,0
587729408074711261,0,0.2643,4,10,0.0094157,0.0150697,0.0624793,0.913035,9.19603,10.0,0
587729408074842238,1,0.0001,4,10,0.235429,0.125398,0.132491,0.506682,8.81853,10.0,0
587729408074842254,20,0.0775,1,0,0.396331,0.156073,0.217628,0.229969,2.44897,9.38912,0
587729408074842259,0,0.0002,4,10,0.0165404,0.0419506,0.17785,0.763659,8.73406,10.0,0
587729408074842273,15,0.1682,4,10,0.072026,0.118452,0.310909,0.498612,7.55871,10.0,0
587729408074842283,0,0.9334,4,9,0.0095864,0.0625786,0.280525,0.64731,6.98017,10.0,0
587729408074907677,12,0.9569,4,9,0.0142252,0.0610889,0.31119,0.613496,6.83962,10.0,1
587729408074907761,16,0.0763,1,0,0.301692,0.264547,0.245783,0.187978,0.0,3.25081,0
587729408074907911,1,0.8707,4,10,0.0195479,0.0749992,0.30386,0.601592,5.7551,10.0,0
587729408074907955,19,0.0007,4,10,0.0812489,0.19775,0.307446,0.413555,6.2126,10.0,0
587729408074973344,0,0.0461,4,10,0.0545928,0.0590963,0.169257,0.717054,8.98513,10.0,0
587729408074973409,0,0.0005,1,0,0.771049,0.093736,0.0281257,0.107089,0.0,8.59288,0
587729408074973472,0,0.0006,4,10,0.0778266,0.0664265,0.108724,0.747023,9.13462,10.0,0
587729408075038923,0,0.0059,4,10,0.163913,0.122154,0.150866,0.563067,8.68366,10.0,0
587729408075038955,0,0.6691,4,9,0.00177042,0.0188616,0.192867,0.786501,7.24998,10.0,0
587729408075104491,8,0.1478,4,10,0.0397042,0.0832716,0.257708,0.619317,6.95091,10.0,0
587729408075104545,0,0.033,4,10,0.00165448,0.0051594,0.0396761,0.95351,9.2264,10.0,0
587729408075104554,0,0.2933,4,10,0.00691867,0.0091367,0.0802949,0.90365,9.13254,10.0,0
587729408075169798,1,0.6651,4,10,0.164111,0.236514,0.274621,0.324754,6.83869,10.0,0
587729408075169989,1,0.325,4,10,0.0121962,0.0360528,0.165167,0.786584,8.87742,10.0,0
587729408075169992,0,0.7161,4,10,0.0239559,0.042203,0.0843089,0.849532,9.1299,10.0,0
587729408075235463,1,0.0009,4,10,0.0539461,0.131077,0.213005,0.601972,8.45694,10.0,0
587729408075235512,0,0.0029,4,10,0.111204,0.0796196,0.112672,0.696504,9.07098,10.0,0
587729408075301188,0,0.0001,4,10,0.10754,0.0611854,0.0792175,0.752057,9.2622,10.0,0
587729408075366608,2,0.0147,1,0,0.249056,0.275869,0.260448,0.214627,0.0,6.96978,0
587729408075366656,1,0.0001,4,10,0.0832626,0.0929753,0.14872,0.675042,8.95732,10.0,0
587729408075432159,0,0.0002,4,10,0.148424,0.0888507,0.141122,0.621603,8.91497,10.0,0
587729408075432168,0,0.0133,4,10,0.0209745,0.0255401,0.0811194,0.872366,9.15232,10.0,0
587729408075563189,0,0.0,1,0,0.655839,0.0910371,0.0485597,0.204564,0.0,8.15342,0
587729408075563286,2,0.0026,4,10,0.221099,0.174322,0.192469,0.41211,7.8425,10.0,0
587729408075563328,0,0.001,4,10,0.129041,0.102379,0.131365,0.637215,9.06407,10.0,0
587729408075628577,20,0.0038,4,10,0.23184,0.162064,0.18809,0.418006,8.06048,10.0,0
587729408075694257,0,0.0019,4,10,0.300878,0.141846,0.142562,0.414714,8.56275,10.0,0
587729408075694293,1,0.374,4,10,0.0122547,0.0161987,0.0922209,0.879326,9.08181,10.0,0
587729408075694317,0,0.0027,4,10,0.20896,0.0423062,0.0430207,0.705714,9.3402,10.0,0
587729408075890773,16,0.0139,4,10,0.299699,0.237854,0.194648,0.2678,7.09537,10.0,0
587729408075890875,0,0.4007,4,10,0.00894493,0.0514109,0.203377,0.736267,8.54826,10.0,0
587729408075890876,0,0.0452,4,10,0.0193085,0.0288461,0.0679611,0.883884,9.21641,10.0,0
587729408075890886,17,0.001,4,10,0.1572,0.190677,0.295869,0.356255,7.1241,10.0,0
587729408075890933,6,0.0222,4,10,0.0764559,0.14482,0.333021,0.445703,2.86075,8.77099,0
587729408075956335,19,0.2127,3,3,0.0670747,0.216547,0.413724,0.302655,1.05166,6.83525,0
587729408075956380,18,0.5294,2,1,0.276911,0.293639,0.197657,0.231792,0.0,5.08114,1
587729408075956449,12,0.4874,2,1,0.280379,0.264215,0.227878,0.227527,0.0,4.83128,0
587729408075956489,0,0.3913,4,9,0.0993411,0.252458,0.297384,0.350817,5.9029,10.0,0
587729408075956516,0,0.1661,4,10,0.0285572,0.0711962,0.126288,0.773959,8.79319,10.0,0
587729408075956528,0,0.0042,4,10,0.00979376,0.0461372,0.177525,0.766544,8.6756,10.0,0
587729408075956531,18,0.0014,4,10,0.148715,0.143652,0.279228,0.428405,6.39848,10.0,0
587729408075956547,6,0.0549,4,10,0.0491494,0.0978233,0.271161,0.581866,8.02329,10.0,0
587729408076087497,0,0.0304,4,10,0.225213,0.102248,0.128448,0.544091,8.84731,10.0,0
587729408076087680,15,0.0102,1,0,0.317167,0.223975,0.19384,0.265018,7.02211,11.0,0
587729408076152978,0,0.0,4,10,0.531517,0.116339,0.0689377,0.283207,8.65176,10.0,0
587729408076153068,13,0.2212,4,6,0.0896859,0.198605,0.329339,0.38237,3.10829,9.15012,0
587729408076153121,0,0.0001,1,0,0.773497,0.075167,0.0207569,0.130579,0.0,8.7939,0
587729408076218669,0,0.2735,4,10,0.0125329,0.0334121,0.177234,0.776821,8.57579,10.0,0
587729408076284214,1,0.1756,4,10,0.300619,0.195267,0.209768,0.294346,5.89144,10.0,0
587729408076284271,6,0.8688,3,3,0.0548666,0.197936,0.405389,0.341809,0.688695,6.94918,0
587729408076349526,1,0.792,4,10,0.189284,0.2257,0.239973,0.345043,7.45842,10.0,0
587729408076349538,4,0.0466,1,0,0.64172,0.204046,0.0482648,0.105969,0.0,4.82947,0
587729408076349674,12,0.1652,4,10,0.160699,0.152197,0.282072,0.405032,7.26745,10.0,0
587729408076349723,20,0.0763,4,6,0.157812,0.18699,0.286456,0.368742,2.57973,9.01528,0
587729408076415063,0,0.1917,4,10,0.0500192,0.122284,0.206112,0.621585,8.43267,10.0,0
587729408076415366,1,0.005,4,10,0.108018,0.125799,0.168147,0.598036,8.56685,10.0,0
587729408076480552,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
587729408076480701,0,0.1281,4,10,0.0822363,0.0889393,0.153292,0.675532,8.79561,10.0,0
587729408076480774,16,0.0105,3,3,0.0592294,0.268641,0.338017,0.334113,0.0,6.24018,0
587729408076480815,0,0.1886,4,10,0.00911035,0.0159547,0.0761101,0.898825,9.12508,10.0,0
587729408076480882,0,0.0001,4,10,0.157313,0.0606077,0.0721288,0.70995,9.2613,10.0,0
587729408076546255,0,0.0,4,10,0.213616,0.134217,0.170683,0.481484,8.44881,10.0,0
587729408076677153,20,0.0008,4,10,0.049769,0.14336,0.300426,0.506446,7.74627,10.0,0
587729408076677386,0,0.0007,4,10,0.404346,0.111433,0.0763143,0.407906,8.84661,10.0,0
587729408076677423,0,0.0,4,10,0.292939,0.0764265,0.06479,0.565845,9.27339,10.0,0
587729408076742827,0,0.0004,4,10,0.30705,0.112025,0.103958,0.476967,8.9361,10.0,0
587729408076808332,5,0.56,2,1,0.330133,0.370851,0.203993,0.0950231,0.0,3.4428,0
587729408076873903,0,0.0,4,10,0.276448,0.119883,0.130803,0.472865,8.99002,10.0,0
587729408076873941,0,0.3864,1,0,0.240524,0.209238,0.231194,0.319044,7.03204,11.0,0
587729408076939326,5,0.4316,3,4,0.0605198,0.281764,0.418866,0.23885,1.51667,7.40297,0
587729408076939475,2,0.0,4,10,0.644304,0.0517894,0.0394267,0.26448,8.92944,10.0,0
587729408076939503,20,0.0277,4,6,0.0949795,0.207096,0.332107,0.365817,2.82035,9.21438,0
587729408077005025,1,0.3949,4,10,0.0243384,0.0432178,0.188498,0.743946,8.4593,10.0,0
