objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_timescale_peak_prob,PROBABILITY_FLAG
587722981749686529,0,0.0128,4,10,0.32857,0
587722981749752007,0,0.1763,4,10,0.247404,0
587722981749817551,0,0.0004,4,10,0.321604,0
587722981749882980,20,0.9527,3,4,0.151417,1
587722981749948565,0,0.0022,4,10,0.438844,0
587722981749948569,0,0.0004,4,10,0.207001,0
587722981750014081,0,0.0001,4,10,0.413311,0
587722981750014083,20,0.1451,4,6,0.156556,0
587722981750014126,0,0.0001,4,10,0.34561,0
587722981750079663,1,0.5031,4,10,0.214032,0
587722981750145213,0,0.0013,4,10,0.447174,0
587722981750341700,20,0.1268,3,4,0.118617,0
587722981750341848,0,0.1838,1,0,0.457291,0
587722981750341885,0,0.4427,2,1,0.194365,0
587722981750407198,0,0.2928,4,10,0.44358,0
587722981750407330,2,0.8839,4,10,0.169164,0
587722981750407396,0,0.0009,4,10,0.282762,0
587722981750669440,1,0.9186,4,9,0.193523,0
587722981750669529,1,0.2904,4,10,0.190053,0
587722981750734954,0,0.0004,4,10,0.227196,0
587722981750734992,0,0.4567,4,10,0.279385,0
587722981750735040,0,0.0649,4,10,0.278409,0
587722981750865959,0,0.0004,4,10,0.243949,0
587722981750866167,0,0.0009,4,10,0.423751,0
587722981750931635,0,0.0016,4,10,0.297243,0
587722981750931657,0,0.1974,4,10,0.390392,0
587722981750931666,16,0.7924,4,6,0.146443,1
587722981750931674,0,0.0002,4,10,0.222029,0
587722981750997085,0,0.674,4,6,0.10307,0
587722981750997167,0,0.7801,2,1,0.316528,0
587722981750997246,10,0.7054,4,6,0.132861,0
587722981751062670,14,0.155,2,1,0.225119,0
587722981751062749,0,0.1811,4,10,0.183616,0
587722981751128321,0,0.586,4,10,0.150063,0
587722981751193796,19,0.0067,4,10,0.131332,0
587722981751193901,0,0.2963,4,10,0.158471,0
587722981751259330,0,0.0019,1,0,0.374626,0
587722981751259333,0,0.0001,4,10,0.330433,0
587722981751259363,0,0.0189,4,10,0.224287,0
